Cluster ID,Fine-Grained Class,Count,Percentage in Cluster,Cluster Total
0,Cylindrical pins,12,8.4%,143
0,Grooved pins,12,8.4%,143
0,Studs,12,8.4%,143
0,Threaded rods,12,8.4%,143
0,Eye screws,11,7.7%,143
0,Screws and bolts with countersunk head,11,7.7%,143
0,Setscrew,10,7.0%,143
0,Socket,10,7.0%,143
0,Taper pins,10,7.0%,143
0,Screws and bolts with cylindrical head,8,5.6%,143
0,"Articulations, eyelets and other articulated joints",7,4.9%,143
0,Roll pins,7,4.9%,143
0,Split pins,7,4.9%,143
0,Tapping screws,7,4.9%,143
0,Screws and bolts with hexagonal head,6,4.2%,143
0,Washer bolt,1,0.7%,143
1,Pulleys,9,25.7%,35
1,Helical geared motors,7,20.0%,35
1,Gear like Parts,6,17.1%,35
1,Clamps,3,8.6%,35
1,Motor Bodies,3,8.6%,35
1,Nozzle,3,8.6%,35
1,Rocker Arms,2,5.7%,35
1,Bearing Blocks,1,2.9%,35
1,Rectangular Housings,1,2.9%,35
2,Locknuts,12,26.7%,45
2,Hexagonal nuts,10,22.2%,45
2,Plain guidings,7,15.6%,45
2,Castle nuts,5,11.1%,45
2,Slotted nuts,5,11.1%,45
2,Flange nut,3,6.7%,45
2,90 degree elbows,1,2.2%,45
2,Collars,1,2.2%,45
2,Flanged block bearing,1,2.2%,45
3,Lockwashers,12,29.3%,41
3,Thrust washers,12,29.3%,41
3,Spring washers,11,26.8%,41
3,Convex washer,6,14.6%,41
4,Snap rings,12,35.3%,34
4,Bolt Like Parts,7,20.6%,34
4,Split pins,5,14.7%,34
4,Spoked Wheels,4,11.8%,34
4,U shaped parts,4,11.8%,34
4,Socket,1,2.9%,34
4,Washer bolt,1,2.9%,34
5,Lever,10,26.3%,38
5,T shaped parts,5,13.2%,38
5,Handles,4,10.5%,38
5,Back Doors,3,7.9%,38
5,Helical geared motors,3,7.9%,38
5,Posts,3,7.9%,38
5,Bolt Like Parts,2,5.3%,38
5,Clamps,2,5.3%,38
5,Contact Switches,1,2.6%,38
5,Gear like Parts,1,2.6%,38
5,Nozzle,1,2.6%,38
5,Socket,1,2.6%,38
5,Spoked Wheels,1,2.6%,38
5,U shaped parts,1,2.6%,38
6,Castle nuts,7,23.3%,30
6,Slotted nuts,5,16.7%,30
